Day,°*珍*°
02/01/2016,31
02/02/2016,0
02/03/2016,5
02/04/2016,7
02/05/2016,4
02/06/2016,0
02/07/2016,0
02/08/2016,2
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,5
02/15/2016,41
02/16/2016,21
02/17/2016,0
02/18/2016,14
02/19/2016,47
02/20/2016,5
02/21/2016,28
02/22/2016,23
02/23/2016,180
02/24/2016,6
02/25/2016,0
02/26/2016,0
02/27/2016,1
02/28/2016,0
02/29/2016,1
03/01/2016,18
03/02/2016,208
03/03/2016,2
03/04/2016,2
03/05/2016,8
03/06/2016,31
03/07/2016,131
03/08/2016,172
03/09/2016,97
03/10/2016,168
03/11/2016,46
03/12/2016,7
03/13/2016,23
03/14/2016,164
03/15/2016,22
03/16/2016,20
03/17/2016,75
03/18/2016,42
03/19/2016,5
03/20/2016,11
03/21/2016,14
03/22/2016,19
03/23/2016,38
03/24/2016,16
03/25/2016,98
03/26/2016,74
03/27/2016,78
03/28/2016,192
03/29/2016,75
03/30/2016,83
03/31/2016,44
04/01/2016,82
04/02/2016,59
04/03/2016,40
04/04/2016,86
04/05/2016,68
04/06/2016,79
04/07/2016,50
04/08/2016,0
04/09/2016,35
04/10/2016,26
04/11/2016,106
04/12/2016,21
04/13/2016,69
04/14/2016,12
04/15/2016,4
04/16/2016,7
04/17/2016,0
04/18/2016,0
04/19/2016,1
04/20/2016,42
04/21/2016,9
04/22/2016,32
04/23/2016,67
04/24/2016,30
04/25/2016,32
04/26/2016,0
04/27/2016,14
04/28/2016,1
04/29/2016,29
04/30/2016,84
05/01/2016,19
05/02/2016,114
05/03/2016,33
05/04/2016,25
05/05/2016,4
05/06/2016,0
05/07/2016,9
05/08/2016,30
05/09/2016,0
05/10/2016,0
05/11/2016,0
05/12/2016,0
05/13/2016,0
05/14/2016,0
05/15/2016,0
05/16/2016,0
05/17/2016,0
05/18/2016,0
05/19/2016,0
05/20/2016,0
05/21/2016,0
05/22/2016,0
05/23/2016,0
05/24/2016,0
05/25/2016,0
05/26/2016,0
05/27/2016,0
05/28/2016,0
05/29/2016,0
05/30/2016,0
05/31/2016,0
06/01/2016,18
06/02/2016,115
06/03/2016,35
06/04/2016,60
06/05/2016,56
06/06/2016,2
06/07/2016,57
06/08/2016,61
06/09/2016,59
06/10/2016,67
06/11/2016,99
06/12/2016,75
06/13/2016,6
06/14/2016,13
06/15/2016,47
06/16/2016,40
06/17/2016,42
06/18/2016,66
06/19/2016,32
06/20/2016,1
06/21/2016,26
06/22/2016,10
06/23/2016,0
06/24/2016,3
06/25/2016,0
06/26/2016,5
06/27/2016,9
06/28/2016,1
06/29/2016,73
06/30/2016,24
07/01/2016,4
07/02/2016,27
07/03/2016,81
07/04/2016,4
07/05/2016,4
07/06/2016,5
07/07/2016,61
07/08/2016,64
07/09/2016,39
07/10/2016,39
07/11/2016,44
07/12/2016,2
07/13/2016,8
07/14/2016,23
07/15/2016,15
07/16/2016,2
07/17/2016,3
07/18/2016,1
07/19/2016,1
07/20/2016,25
07/21/2016,20
07/22/2016,41
07/23/2016,2
07/24/2016,62
07/25/2016,4
07/26/2016,48
07/27/2016,0
07/28/2016,6
07/29/2016,12
07/30/2016,0
07/31/2016,1
08/01/2016,12
08/02/2016,0
08/03/2016,0
08/04/2016,13
08/05/2016,0
08/06/2016,0
08/07/2016,7
08/08/2016,1
08/09/2016,0
08/10/2016,8
08/11/2016,53
08/12/2016,21
08/13/2016,15
08/14/2016,29
08/15/2016,2
08/16/2016,1
08/17/2016,3
08/18/2016,7
08/19/2016,2
08/20/2016,27
08/21/2016,12
08/22/2016,2
08/23/2016,8
08/24/2016,0
08/25/2016,0
08/26/2016,18
08/27/2016,4
08/28/2016,0
08/29/2016,0
08/30/2016,4
08/31/2016,0
