Day,林浩克
02/01/2016,41
02/02/2016,0
02/03/2016,39
02/04/2016,0
02/05/2016,21
02/06/2016,4
02/07/2016,2
02/08/2016,1
02/09/2016,15
02/10/2016,4
02/11/2016,5
02/12/2016,19
02/13/2016,68
02/14/2016,15
02/15/2016,0
02/16/2016,10
02/17/2016,0
02/18/2016,3
02/19/2016,19
02/20/2016,3
02/21/2016,89
02/22/2016,37
02/23/2016,19
02/24/2016,0
02/25/2016,8
02/26/2016,36
02/27/2016,2
02/28/2016,1
02/29/2016,5
03/01/2016,1
03/02/2016,27
03/03/2016,4
03/04/2016,2
03/05/2016,2
03/06/2016,9
03/07/2016,36
03/08/2016,16
03/09/2016,67
03/10/2016,6
03/11/2016,21
03/12/2016,27
03/13/2016,1
03/14/2016,20
03/15/2016,6
03/16/2016,0
03/17/2016,27
03/18/2016,19
03/19/2016,5
03/20/2016,6
03/21/2016,21
03/22/2016,2
03/23/2016,1
03/24/2016,22
03/25/2016,20
03/26/2016,26
03/27/2016,73
03/28/2016,28
03/29/2016,28
03/30/2016,8
03/31/2016,10
04/01/2016,30
04/02/2016,27
04/03/2016,31
04/04/2016,106
04/05/2016,13
04/06/2016,70
04/07/2016,28
04/08/2016,19
04/09/2016,16
04/10/2016,70
04/11/2016,44
04/12/2016,28
04/13/2016,10
04/14/2016,86
04/15/2016,26
04/16/2016,33
04/17/2016,144
04/18/2016,55
04/19/2016,46
04/20/2016,94
04/21/2016,42
04/22/2016,82
04/23/2016,7
04/24/2016,40
04/25/2016,111
04/26/2016,43
04/27/2016,17
04/28/2016,7
04/29/2016,18
04/30/2016,3
05/01/2016,4
05/02/2016,15
05/03/2016,51
05/04/2016,4
05/05/2016,49
05/06/2016,13
05/07/2016,0
05/08/2016,0
05/09/2016,31
05/10/2016,0
05/11/2016,8
05/12/2016,1
05/13/2016,1
05/14/2016,22
05/15/2016,1
05/16/2016,0
05/17/2016,0
05/18/2016,11
05/19/2016,5
05/20/2016,0
05/21/2016,52
05/22/2016,53
05/23/2016,3
05/24/2016,0
05/25/2016,2
05/26/2016,0
05/27/2016,2
05/28/2016,0
05/29/2016,2
05/30/2016,0
05/31/2016,0
06/01/2016,0
06/02/2016,14
06/03/2016,27
06/04/2016,0
06/05/2016,5
06/06/2016,0
06/07/2016,93
06/08/2016,3
06/09/2016,3
06/10/2016,5
06/11/2016,4
06/12/2016,61
06/13/2016,12
06/14/2016,1
06/15/2016,14
06/16/2016,9
06/17/2016,0
06/18/2016,0
06/19/2016,0
06/20/2016,3
06/21/2016,0
06/22/2016,0
06/23/2016,17
06/24/2016,2
06/25/2016,71
06/26/2016,1
06/27/2016,0
06/28/2016,0
06/29/2016,0
06/30/2016,33
07/01/2016,20
07/02/2016,17
07/03/2016,5
07/04/2016,6
07/05/2016,74
07/06/2016,11
07/07/2016,18
07/08/2016,6
07/09/2016,5
07/10/2016,11
07/11/2016,37
07/12/2016,2
07/13/2016,0
07/14/2016,14
07/15/2016,84
07/16/2016,41
07/17/2016,39
07/18/2016,0
07/19/2016,12
07/20/2016,110
07/21/2016,3
07/22/2016,0
07/23/2016,17
07/24/2016,53
07/25/2016,1
07/26/2016,0
07/27/2016,9
07/28/2016,6
07/29/2016,11
07/30/2016,6
07/31/2016,2
